ID Paper;Title
69731;Modeling Semantic Context for Active e-Learning in the Workplace
69743;Skill Modelling for Digital Factories
69784;EduCOR: An Educational and Career-Oriented Recommendation Ontology
69785;An Ontological Approach for Domain Knowledge Modeling and Management in E-Learning Systems
69790;An XML Multi-agent System for E-learning and Skill Management
69791;Hermeneutic Dimensions of Competency-Based Education and Training
69795;Key competencies in sustainability in higher education—toward an agreed-upon reference framework
69796;National Qualification Systems Integration using Ontologies
69800;Educating for competence in professional practice
69802;Building Ontology Based Tools for a Software Development Environment
69807;Embedding Cultural Competence in Science Curricula
69814;Real-Life Learning in Virtual Communities of Technology
69815;Self-regulated learning with approximate reasoning and situation awareness
69816;Conceptual Framework, Models, and Methods of Knowledge Acquisition and Management for Competency Management in Various Areas
69821;Organizational schemata of e-portfolios for fostering higher-order thinking
69824;Towards a competency model: A review of the literature and the competency standards
69828;Professional Competence of Vocational Teachers: a Conceptual Review
69829;Ontology-Based Retrieval of Experts – The Issue of Efficiency and Scalability within the eXtraSpec System
69833;Supporting assessment autonomy: How one small school articulated the infrastructure needed to own and use student data
69847;Broadening design-led education horizons: conceptual insights and future research directions
69858;Systematic Analysis of Future Competences Affected by Industry 4.0
69867;Ontology and Rule Based Inferring on Project Teams
69876;Traditional and new ways in competence management: Application of HR analytics in competence management
69878;Towards Automated Education Demand-Offer Information Monitoring: The System’s Architecture
69879;Designer - Supporting Teachers Experience in Learning Management Systems
69884;The Challenge of Learning for Networked SMEs to Increase Competitiveness in Virtual Enterprises
69897;Modeling Semantic Competence: A Critical Review of Frege’s Puzzle about Identity
69943;Aided Virtual Team Building System: Zooming in on Web 2.0 Tools and Competence Management
69960;Towards a Methodology for Managing Competencies in Virtual Teams – A Systemic Approach
69976;IM-TAG: Informal Mentoring Improved by Means of Social Web Contents Tagging
69981;Use of RDF for expertise matching within academia
69993;Capability Modelling and Knowledge Management
70036;A Method for Developing Generic Capability Maps
98747;Project-competent paradigm of knowledge representation of the three-level engineering education system
98748;An ontology-based approach to aid the application of competency-oriented curriculum principles in open educational resources
98756;Knowledge engineering for competence assessment on serious games based on semantic web
98762;Ontology-Based Analysis and Design of Educational Games for Software Refactoring
98773;Using an ontological model for transfer knowledge between universities
98774;Aspects of Requirements Elaboration to Basic Competences of a Personality in the Digital Economy Environment
98785;Identification of Dependencies Between Learning Outcomes in Computing Science Curricula for Primary and Secondary Education – On the Way to Personalized Learning Paths
98788;Ontologies - facilitators for curriculum design in centers of excellence for engineering education
98790;Use of Semantic Technologies for Validation of e-Learning Outcomes
98792;Towards the Technology of Employers’ Requirements Collection Development
98799;The concept of personalized e-learning with the use of mobile applications based on ontologies
98805;Competency based approach: Modeling and implementation
98807;A Knowledge-Model for AI-Driven Tutoring Systems
98809;Pandemic learning ontology: Methodological aspects to assess skills in a public health emergency
98811;Ontological model of representation of university resources
98817;Validation of a semantic search engine for academic resources on engineering teamwork
98823;Ontology for continuous learning and support
98824;Ontology of the CBA: Towards Operationalization and Implementation
98830;The Model of Curriculum Constructor
98833;Competence Mining to Improve Training Programs
98839;Even Better than the Real Thing: Practice-Based Learning and Vocational Thresholds at Work
98841;From content management to E-learning content repositories
98842;Ontology-based e-Portfolio modeling for supporting lifelong competency assessment and development
98844;Integrating social media into an instructional design support system
98856;Ontological design to support cognitive plasticity for creative immersive experience in computer aided learning
